Image,,xmin,ymin,xmax,ymax,label
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,159,114,171,127,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,174,86,185,98,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,169,72,179,83,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,184,63,192,71,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,193,76,202,86,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,207,80,216,87,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,202,96,213,107,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,167,157,183,176,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,224,153,237,169,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,227,138,239,154,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,204,122,216,136,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,182,146,198,163,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,194,157,208,174,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,215,160,230,178,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,270,163,284,179,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,243,162,259,183,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,257,138,269,154,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,262,103,273,116,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,275,94,284,106,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,221,63,230,75,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,219,85,229,97,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,232,73,242,85,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,259,80,270,92,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,254,109,265,122,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,256,63,266,70,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,273,76,282,86,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,283,79,294,91,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,288,83,298,94,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,314,63,323,70,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,298,87,308,98,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,356,69,365,80,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,335,76,345,88,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,325,85,335,94,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,302,97,311,107,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,345,84,354,93,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,394,65,403,76,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,380,71,391,82,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,366,76,377,89,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,356,103,367,115,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,337,103,348,116,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,315,122,327,137,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,349,119,360,132,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,379,106,390,120,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,401,83,413,98,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,389,107,401,120,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,372,135,381,145,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,356,146,370,161,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,346,135,358,149,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,330,141,345,157,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,407,193,415,212,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,376,145,390,161,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,371,176,385,194,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,363,186,380,205,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,298,168,314,185,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,279,172,295,192,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,290,182,306,202,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,142,182,161,202,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,169,175,185,193,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,196,180,215,201,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,180,206,197,226,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,359,160,373,176,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,238,198,258,220,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,179,205,179,205,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,186,218,207,240,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,19,248,45,271,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,363,324,388,350,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,291,204,309,224,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,278,207,298,229,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,383,204,400,225,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,380,222,403,249,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,382,274,401,299,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,364,276,387,304,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,299,306,324,336,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,258,284,280,311,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,239,264,260,289,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,214,298,238,323,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,182,278,197,298,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,157,315,183,342,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,92,320,115,345,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,147,231,166,250,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,110,214,127,233,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,99,224,119,246,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,149,253,165,272,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,160,252,177,275,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,124,271,146,295,mask
0ad90195-cd77-489e-bf85-08c83b80d3e0_jpg.rf.beb82ab840a99a2f93e750cef18fec63.jpg,,1,88,63,232,mask
0ad90195-cd77-489e-bf85-08c83b80d3e0_jpg.rf.beb82ab840a99a2f93e750cef18fec63.jpg,,96,121,209,240,mask
0ad90195-cd77-489e-bf85-08c83b80d3e0_jpg.rf.beb82ab840a99a2f93e750cef18fec63.jpg,,199,109,299,231,mask
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.d44bd1ff2598b4bdd63cf43da1f7fc11.jpg,,73,185,149,271,mask
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.d44bd1ff2598b4bdd63cf43da1f7fc11.jpg,,156,159,238,243,mask
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.d44bd1ff2598b4bdd63cf43da1f7fc11.jpg,,283,149,363,238,mask
Surgical-Mask-Effectiveness_jpg.rf.bdba6eb2610938f3400727ffb47b4701.jpg,,194,116,350,299,mask
Surgical-Mask-Effectiveness_jpg.rf.bdba6eb2610938f3400727ffb47b4701.jpg,,58,126,208,291,mask
W37H3GWNO5EV5HTJQNP4KLIRGI_jpg.rf.d44f7987f4f5b4fbfa3d2e2138c705fd.jpg,,205,82,306,181,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf675ff0bc9d180c1b108765dcc3e050.jpg,,286,145,299,165,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf675ff0bc9d180c1b108765dcc3e050.jpg,,296,105,366,199,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf675ff0bc9d180c1b108765dcc3e050.jpg,,242,171,282,220,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf675ff0bc9d180c1b108765dcc3e050.jpg,,175,175,218,229,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf675ff0bc9d180c1b108765dcc3e050.jpg,,156,154,189,203,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf675ff0bc9d180c1b108765dcc3e050.jpg,,11,114,82,194,mask
15-08608-001_jpg.rf.cf241fdb300b03822239f49da6e2903e.jpg,,47,159,98,227,no-mask
15-08608-001_jpg.rf.cf241fdb300b03822239f49da6e2903e.jpg,,300,160,344,223,mask
15-08608-001_jpg.rf.cf241fdb300b03822239f49da6e2903e.jpg,,243,106,287,170,mask
15-08608-001_jpg.rf.cf241fdb300b03822239f49da6e2903e.jpg,,111,120,151,189,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf4d3c8878cb3b1d49e4eaf4fa7b3dec.jpg,,286,145,299,165,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf4d3c8878cb3b1d49e4eaf4fa7b3dec.jpg,,296,105,366,199,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf4d3c8878cb3b1d49e4eaf4fa7b3dec.jpg,,242,171,282,220,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf4d3c8878cb3b1d49e4eaf4fa7b3dec.jpg,,175,175,218,229,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf4d3c8878cb3b1d49e4eaf4fa7b3dec.jpg,,156,154,189,203,mask
REVZGCBIJNQPMIIXOKDCQA3GJI_jpg.rf.cf4d3c8878cb3b1d49e4eaf4fa7b3dec.jpg,,11,114,82,194,mask
101d6660a8974050b613dd2e6bd59390_jpg.rf.c7790bf61081fd3cda0b85dc6ab33794.jpg,,335,140,382,202,mask
101d6660a8974050b613dd2e6bd59390_jpg.rf.c7790bf61081fd3cda0b85dc6ab33794.jpg,,208,105,253,168,mask
101d6660a8974050b613dd2e6bd59390_jpg.rf.c7790bf61081fd3cda0b85dc6ab33794.jpg,,173,155,220,215,mask
101d6660a8974050b613dd2e6bd59390_jpg.rf.c7790bf61081fd3cda0b85dc6ab33794.jpg,,59,143,114,204,mask
1249493_jpg.rf.c9a8082b795e1d71556b0f2d74428077.jpg,,247,111,266,138,no-mask
1249493_jpg.rf.c9a8082b795e1d71556b0f2d74428077.jpg,,298,107,321,142,mask
1249493_jpg.rf.c9a8082b795e1d71556b0f2d74428077.jpg,,272,104,300,151,mask
1249493_jpg.rf.c9a8082b795e1d71556b0f2d74428077.jpg,,161,101,191,136,mask
1249493_jpg.rf.c9a8082b795e1d71556b0f2d74428077.jpg,,27,75,68,128,mask
sdgdsgsg_jpg.rf.c947ddf5aa988c8a6a55f13d44e0107b.jpg,,2,85,77,225,mask
sdgdsgsg_jpg.rf.c947ddf5aa988c8a6a55f13d44e0107b.jpg,,329,147,415,292,mask
sdgdsgsg_jpg.rf.c947ddf5aa988c8a6a55f13d44e0107b.jpg,,134,67,273,225,mask
0209-00176-076b1_jpg.rf.cfc701a3fc388506cbc0954aef9ececa.jpg,,41,69,73,106,mask
0209-00176-076b1_jpg.rf.cfc701a3fc388506cbc0954aef9ececa.jpg,,79,94,141,171,no-mask
0209-00176-076b1_jpg.rf.cfc701a3fc388506cbc0954aef9ececa.jpg,,309,76,388,178,mask
0209-00176-076b1_jpg.rf.cfc701a3fc388506cbc0954aef9ececa.jpg,,156,96,226,175,mask
PHOTriZgIKIgsnNLdBJG75vj200203_1000x2000_jpg.rf.c58d2babecc2a8bd56485a56a9a6c940.jpg,,316,126,362,179,mask
PHOTriZgIKIgsnNLdBJG75vj200203_1000x2000_jpg.rf.c58d2babecc2a8bd56485a56a9a6c940.jpg,,239,143,281,188,mask
PHOTriZgIKIgsnNLdBJG75vj200203_1000x2000_jpg.rf.c58d2babecc2a8bd56485a56a9a6c940.jpg,,179,117,214,161,mask
PHOTriZgIKIgsnNLdBJG75vj200203_1000x2000_jpg.rf.c58d2babecc2a8bd56485a56a9a6c940.jpg,,91,83,131,131,mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,184,111,219,152,mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,26,122,42,149,mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,13,101,33,124,no-mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,263,96,287,128,no-mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,58,115,88,149,mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,318,78,354,126,mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,230,98,256,131,no-mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,94,98,116,122,no-mask
1152x768_246964803156_jpg.rf.d4e8b4fea92b78d84ef512010040fb58.jpg,,133,101,157,135,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,66,139,99,185,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,163,144,228,217,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,192,92,213,117,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,125,92,149,117,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,246,116,274,151,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,144,108,178,149,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,34,104,74,147,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,34,248,73,291,no-mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,108,164,156,230,mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,209,96,238,131,mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,262,122,296,164,mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,327,105,387,173,mask
0602623232127-web-tete_jpg.rf.c4eb9878d42f74affb5e64baa193e957.jpg,,266,195,330,281,mask
001_1024_jpeg_jpg.rf.c4e11afe1d1dc367337eb47d06078f48.jpg,,349,227,372,255,mask
001_1024_jpeg_jpg.rf.c4e11afe1d1dc367337eb47d06078f48.jpg,,318,188,352,225,mask
001_1024_jpeg_jpg.rf.c4e11afe1d1dc367337eb47d06078f48.jpg,,288,208,318,242,mask
001_1024_jpeg_jpg.rf.c4e11afe1d1dc367337eb47d06078f48.jpg,,246,185,293,228,mask
001_1024_jpeg_jpg.rf.c4e11afe1d1dc367337eb47d06078f48.jpg,,83,91,152,171,mask
001_1024_jpeg_jpg.rf.c4e11afe1d1dc367337eb47d06078f48.jpg,,191,139,243,199,mask
15391513321824spp815on8_jpg.rf.d613f1dc59877063d987371180703941.jpg,,70,122,132,207,no-mask
15391513321824spp815on8_jpg.rf.d613f1dc59877063d987371180703941.jpg,,281,58,346,247,no-mask
15391513321824spp815on8_jpg.rf.d613f1dc59877063d987371180703941.jpg,,160,22,263,170,mask
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.cc36eff3f8e6e7ca1ceb2765570e9bc7.jpg,,325,125,346,147,no-mask
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.cc36eff3f8e6e7ca1ceb2765570e9bc7.jpg,,16,115,47,155,mask
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.cc36eff3f8e6e7ca1ceb2765570e9bc7.jpg,,53,131,85,168,mask
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.cc36eff3f8e6e7ca1ceb2765570e9bc7.jpg,,110,117,133,141,mask
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.cc36eff3f8e6e7ca1ceb2765570e9bc7.jpg,,135,109,163,142,mask
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.cc36eff3f8e6e7ca1ceb2765570e9bc7.jpg,,182,126,206,154,mask
